,Region,Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Poducer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
168,Africa,Chad,Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,0.227
169,Africa,Chad,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2020.0,0.79,0.5
170,Africa,Chad,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2021.0,0.79,0.5
171,Africa,Chad,Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,0.5
172,Africa,Chad,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2020.0,8.9,1.1
173,Africa,Chad,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2021.0,8.9,1.1
174,Africa,Chad,Total Renewable,Wind energy,Onshore wind energy,Onshore wind energy,Off-grid electricity,2022.0,,1.1
175,Africa,Comoros (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,50.12,21.6
176,Africa,Comoros (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,50.12,21.6
177,Africa,Comoros (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,21.6
178,Africa,Comoros (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,,1.448
179,Africa,Comoros (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,,1.448
180,Africa,Comoros (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,1.448
181,Africa,Comoros (the),Total Renewable,Solar energy,Solar photovoltaic,On-grid Solar photovoltaic,On-grid electricity,2022.0,,4
182,Africa,Congo (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,1570.4,534
183,Africa,Congo (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,1570.4,534
184,Africa,Congo (the),Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,534
185,Africa,Congo (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,3,62.66
186,Africa,Congo (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,3,62.66
187,Africa,Congo (the),Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,62.66
188,Africa,Congo (the),Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2020.0,12.902,5.2
189,Africa,Congo (the),Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2021.0,12.902,5.2
190,Africa,Congo (the),Total Renewable,Bioenergy,Solid biofuels,Bagasse,On-grid electricity,2022.0,,5.2
191,Africa,Congo (the),Total Renewable,Bioenergy,Solid biofuels,Wood waste,On-grid electricity,2020.0,18.396,7
192,Africa,Congo (the),Total Renewable,Bioenergy,Solid biofuels,Wood waste,On-grid electricity,2021.0,18.396,7
193,Africa,Congo (the),Total Renewable,Bioenergy,Solid biofuels,Wood waste,On-grid electricity,2022.0,,7
194,Africa,Congo (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,1046,213.9
195,Africa,Congo (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2021.0,1046,213.9
196,Africa,Congo (the),Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2022.0,,213.9
197,Africa,Congo (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2020.0,0.723,0.522
198,Africa,Congo (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2021.0,0.723,0.565
199,Africa,Congo (the),Total Renewable,Solar energy,Solar photovoltaic,Off-grid Solar photovoltaic,Off-grid electricity,2022.0,,0.565
200,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2020.0,6887,809
201,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021.0,7362,809
202,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022.0,,990
203,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2020.0,6,5.1408
204,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2021.0,5,5.1408
205,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Oil,Oil,Off-grid electricity,2022.0,,5.1408
206,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020.0,4323,541
207,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021.0,4063,581
208,Africa,Côte d'Ivoire,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022.0,,581
209,Africa,Côte d'Ivoire,Total Renewable,Hydropower (excl. Pumped Storage),Renewable hydropower,Renewable hydropower,On-grid electricity,2020.0,3376,879
